	0	1	2	3	4	5	6
0	1	Ацетонитрил, ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-04-12	15:14:05	1848570232
1	2	бензол хч	INIT_BASE_CODE_OLIGO_LAB_0000007	0.0	2024-04-12	16:33:48	1848570232
2	3	Ацетонитрил, ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	21.0	2024-04-12	16:41:25	1848570232
3	4	Ацетонитрил, ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-04-15	15:10:59	1848570232
4	5	ацетон, чда	INIT_BASE_CODE_OLIGO_LAB_0000006	1.0	2024-04-16	10:33:47	1783121115
5	6	Ацетонитрил, ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-04-17	10:55:44	1783121115
6	7	ацетон, чда	INIT_BASE_CODE_OLIGO_LAB_0000006	1.0	2024-04-18	10:33:14	1783121115
7	8	Ацетонитрил, ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-04-18	12:36:03	1848570232
8	9	бензол хч	INIT_BASE_CODE_OLIGO_LAB_0000007	1.0	2024-04-18	12:53:23	1848570232
9	10	бензол хч	INIT_BASE_CODE_OLIGO_LAB_0000007	1.0	2024-04-19	11:56:02	1783121115
10	11	Ацетонитрил, ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-04-19	15:47:43	1848570232
11	12	Ацетонитрил, ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-04-22	11:52:44	1848570232
12	13	бензол хч	INIT_BASE_CODE_OLIGO_LAB_0000007	1.0	2024-04-24	11:59:26	1848570232
13	14	Ацетонитрил, ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-04-24	12:08:22	1783121115
14	15	ацетон, чда	INIT_BASE_CODE_OLIGO_LAB_0000006	1.0	2024-04-25	09:28:26	1848570232
15	16	крышки на плоскоддонной пробирке 2 мл	INIT_BASE_CODE_OLIGO_LAB_0000040	1.0	2024-04-25	09:40:25	1783121115
16	17	крышки на плоскоддонной пробирке 2 мл	INIT_BASE_CODE_OLIGO_LAB_0000040	1.0	2024-04-25	10:22:21	1848570232
17	18	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-04-25	11:28:12	1848570232
18	19	пробирки 50 мл	INIT_BASE_CODE_OLIGO_LAB_0000059	1.0	2024-04-25	12:34:21	1783121115
19	20	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-05-02	10:49:59	1848570232
20	21	ацетон. чда	INIT_BASE_CODE_OLIGO_LAB_0000006	1.0	2024-05-02	14:29:33	1783121115
21	22	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-05-06	11:32:04	1848570232
22	23	Фильтр колонны FS001-1	INIT_BASE_CODE_OLIGO_LAB_0000089	1.0	2024-05-08	09:36:14	1783121115
23	24	Флаконы ПЭТ 10 мл темные	INIT_BASE_CODE_OLIGO_LAB_0000114	50.0	2024-05-08	09:39:47	1783121115
24	25	Крышки для ПЭТ флаконом 10 мл черные	INIT_BASE_CODE_OLIGO_LAB_0000117	50.0	2024-05-08	09:41:55	1783121115
25	26	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-05-08	13:50:01	1783121115
26	27	Уксусная кислота. ледяная	INIT_BASE_CODE_OLIGO_LAB_0000005	1.0	2024-05-13	13:27:14	1783121115
27	28	триэтиламин	INIT_BASE_CODE_OLIGO_LAB_0000118	1.0	2024-05-13	13:28:02	1783121115
28	29	ацетон. чда	INIT_BASE_CODE_OLIGO_LAB_0000006	1.0	2024-05-13	13:32:31	1783121115
29	30	ацетон. чда	INIT_BASE_CODE_OLIGO_LAB_0000006	1.0	2024-05-13	13:36:14	1783121115
30	31	Флаконы ПЭТ 10 мл темные	INIT_BASE_CODE_OLIGO_LAB_0000114	100.0	2024-05-13	13:45:23	1783121115
31	32	Крышки для ПЭТ флаконом 10 мл черные	INIT_BASE_CODE_OLIGO_LAB_0000117	100.0	2024-05-13	13:45:54	1783121115
32	33	PR2-005 2`-O-4`-C-Locked-G(dmf) Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000125	0.2	2024-05-13	16:22:42	1848570232
33	34	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-05-15	11:27:21	1783121115
34	35	бензол хч	INIT_BASE_CODE_OLIGO_LAB_0000007	1.0	2024-05-15	11:28:06	1783121115
35	36	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-05-15	12:06:30	1783121115
36	37	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-05-15	12:15:45	1848570232
37	38	Флаконы ПЭТ 10 мл темные	INIT_BASE_CODE_OLIGO_LAB_0000114	50.0	2024-05-16	09:37:45	1783121115
38	39	Крышки для ПЭТ флаконом 10 мл черные	INIT_BASE_CODE_OLIGO_LAB_0000117	50.0	2024-05-16	09:39:55	1783121115
39	40	пробирки 15 мл	INIT_BASE_CODE_OLIGO_LAB_0000058	1.0	2024-05-17	09:34:58	1783121115
